SET_ID	RankSumP
SET_548	1.37e-13
SET_549	1.67e-12
SET_550	2.8e-42
SET_551	2.14e-43
SET_552	4.09e-37
SET_553	1.87e-37
SET_554	0.158
SET_555	1.9e-09
SET_556	7.12e-12
SET_557	1.4e-14
SET_558	0.169
SET_559	0.0161
SET_560	0.000205
SET_561	0.00115
SET_562	3.51e-05
SET_563	9.64e-05
SET_564	0.00115
SET_565	0.0549
SET_566	0.0224
SET_567	0.0953
SET_568	0.000966
SET_569	0.00115
SET_570	0.00346
SET_571	0.0655
SET_572	0.0583
SET_573	6.9e-11
SET_574	0.00112
SET_575	0.0285
SET_576	0.0039
SET_577	6.99e-05
SET_578	0.00465
SET_579	0.0332
SET_580	0.00179
SET_581	0.00449
SET_582	0.000909
SET_583	0.142
SET_584	0.27
SET_585	0.0487
SET_586	0.0309
SET_587	0.00432
SET_588	0.00721
SET_589	0.0167
SET_590	0.00327
SET_591	0.000989
SET_592	0.0237
SET_593	0.0862
SET_594	0.199
SET_595	0.00352
SET_596	0.0335
SET_597	0.103
SET_598	0.314
SET_599	1.28e-05
SET_600	0.00157
SET_601	0.000299
SET_602	0.0211
SET_603	0.00871
SET_604	0.00612
SET_605	0.0037
SET_606	0.0183
SET_607	0.00017
SET_608	0.34
SET_609	0.192
SET_610	0.0752
SET_611	0.278
SET_612	0.0161
SET_613	0.425
SET_614	0.0135
SET_615	0.000131
SET_616	0.116
SET_617	0.616
SET_618	0.00406
SET_619	0.149
SET_620	0.491
SET_621	6.65e-10
SET_622	1.6e-30
SET_623	8.03e-34
SET_624	0.259
SET_625	0.0041
SET_626	0.0134
SET_627	0.0701
SET_628	0.204
SET_629	0.00137
SET_630	0.0651
SET_631	0.0196
SET_632	0.167
SET_633	0.0259
SET_634	0.229
SET_635	0.0147
SET_636	9.19e-06
SET_637	7.95e-05
SET_638	0.00754
SET_639	0.0244
SET_640	0.286
SET_641	0.256
SET_642	0.282
SET_643	0.0114
SET_644	0.8
SET_645	0.256
SET_646	0.598
SET_647	0.25
SET_648	0.169
SET_649	0.615
SET_650	0.411
SET_651	0.325
SET_652	0.336
SET_653	0.823
SET_654	0.000413
SET_655	0.396
SET_656	0.854
SET_657	0.0503
SET_658	0.525
SET_659	0.694
SET_660	0.225
SET_661	0.0147
SET_662	0.0147
SET_663	0.00417
SET_664	0.00334
SET_665	0.00142
SET_666	0.112
SET_667	0.0395
SET_668	0.0456
SET_669	0.0147
SET_670	0.0147
SET_671	0.0102
SET_672	0.00129
SET_673	0.000352
SET_674	0.0161
SET_675	0.0118
SET_676	0.188
SET_677	0.157
SET_678	0.046
SET_679	0.0158
SET_680	0.00449
SET_681	0.0153
SET_682	0.659
SET_683	0.0089
SET_684	0.279
SET_685	0.995
SET_686	0.0147
SET_687	0.026
SET_688	0.963
SET_689	0.0147
SET_690	0.0153
